,year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats,all_crimes
177,1982,MN,Minnesota,4133000,9062,95,938.0,,4188,3841,175048,48855,116375,9818,,367282
178,1982,MO,Missouri,4951000,25078,479,1283.0,,9554,13762,219888,68881,134383,16624,,488649
179,1982,MT,Montana,801000,1801,31,119.0,,265,1386,32908,6759,24079,2070,,69299
180,1982,NC,North Carolina,6019000,26865,545,1322.0,,5168,19830,246593,78787,156701,11105,,545594
181,1982,ND,North Dakota,670000,414,5,66.0,,85,258,17328,3074,13314,940,,35418
182,1982,NE,Nebraska,1586000,3641,31,329.0,,982,2299,59019,12867,43331,2821,,124991
183,1982,NH,New Hampshire,951000,1187,21,154.0,,322,690,35229,8987,24115,2127,,72678
184,1982,NJ,New Jersey,7438000,45175,482,2149.0,,22880,19664,377016,106418,223978,46620,,842233
185,1982,NM,New Mexico,1359000,9982,158,656.0,,1715,7453,79816,22135,53402,4279,,178940
186,1982,NV,Nevada,881000,7096,120,542.0,,3697,2737,62512,21256,36279,4977,,138674
187,1982,NY,New York,17659000,174833,2013,5159.0,,107843,59818,967369,295245,534244,137880,,2279245
188,1982,OH,Ohio,10791000,47126,676,3223.0,,19809,23418,485468,141316,302962,41190,,1061965
189,1982,OK,Oklahoma,3177000,14103,344,1180.0,,4218,8361,151814,50956,85326,15532,,330654
190,1982,OR,Oregon,2649000,12529,136,1057.0,,4433,6903,161444,47410,106061,7973,,346889
191,1982,PA,Pennsylvania,11865000,42767,678,2448.0,,20806,18835,366903,106867,220623,39413,,816892
192,1982,RI,Rhode Island,958000,3849,35,186.0,,1099,2529,47539,13414,27077,7048,,102590
193,1982,SC,South Carolina,3203000,23061,348,1242.0,,3921,17550,148657,47752,92009,8896,,342194
194,1982,SD,South Dakota,691000,684,19,79.0,,118,468,17592,3885,12889,818,,36473
195,1982,TN,Tennessee,4651000,19586,452,1651.0,,8173,9310,185692,59934,110316,15442,,408905
196,1982,TX,Texas,15280000,88178,2466,6816.0,,33618,45278,874799,285967,501727,87105,,1919138
197,1982,UT,Utah,1554000,4440,53,369.0,,1344,2674,78451,17202,57341,3908,,165413
198,1982,VA,Virginia,5491000,16970,405,1366.0,,6708,8491,216713,53457,153148,10108,,466000
199,1982,VT,Vermont,516000,655,12,180.0,,119,344,23555,6080,16160,1315,,48240
200,1982,WA,Washington,4245000,17251,185,1947.0,,5003,10116,249429,71322,166188,11919,,531413
201,1982,WI,Wisconsin,4765000,9077,148,680.0,,3393,4856,202447,46564,147177,8706,,422368
202,1982,WV,West Virginia,1948000,3405,102,302.0,,970,2031,45514,13985,27962,3567,,97536
203,1982,WY,Wyoming,502000,1527,46,136.0,,172,1173,22589,4432,16903,1254,,48096
204,1983,,,233791994,1258087,19308,78918.0,,506567,653294,10850543,3129851,6712759,1007933,,24138342
205,1983,AK,Alaska,479000,2940,66,486.0,,465,1923,25889,5720,17085,3084,,57172
206,1983,AL,Alabama,3959000,16471,364,931.0,,3895,11281,145890,42485,94279,9126,,323791
207,1983,AR,Arkansas,2328000,6930,178,586.0,,1614,4552,74563,22380,48140,4043,,162400
208,1983,AZ,Arizona,2963000,14642,213,1241.0,,3923,9265,174740,49440,114721,10579,,377523
209,1983,CA,California,25174000,194491,2639,12093.0,,85826,93933,1486487,460460,867123,158904,,3349863
210,1983,CO,Colorado,3139000,14955,202,1316.0,,3968,9469,193070,48101,133271,11698,,414734
211,1983,CT,Connecticut,3138000,11767,129,627.0,,6296,4715,144437,39988,89421,15028,,311781
212,1983,DC,District of Columbia,623000,11933,183,406.0,,7698,3646,45843,12483,29405,3955,,115146
213,1983,DE,Delaware,606000,2746,25,229.0,,699,1793,30378,7414,20908,2056,,66019
214,1983,FL,Florida,10680000,88292,1199,5170.0,,28126,53797,635934,191902,400796,43236,,1443282
215,1983,GA,Georgia,5732000,26179,483,2021.0,,8267,15408,232062,72614,143398,16050,,514461
216,1983,HI,Hawaii,1023000,2579,57,301.0,,1330,891,56853,13636,38920,4297,,118563
217,1983,IA,Iowa,2905000,5262,68,365.0,,1192,3637,108587,26599,77402,4586,,227333
218,1983,ID,Idaho,989000,2361,35,181.0,,270,1875,35872,9206,24979,1687,,76285
219,1983,IL,Illinois,11486000,83629,1112,3619.0,,36625,42273,552857,148445,339061,65351,,1269353
220,1983,IN,Indiana,5479000,15547,286,1509.0,,5474,8278,210725,54147,138929,17649,,451035
221,1983,KS,Kansas,2425000,7919,137,627.0,,2038,5117,101928,28318,68735,4875,,219067
222,1983,KY,Kentucky,3714000,11967,364,817.0,,3236,7550,115602,36286,71322,7994,,254321
223,1983,LA,Louisiana,4438000,28444,629,1770.0,,8433,17612,194636,57359,123492,13785,,444390
224,1983,MA,Massachusetts,5767000,33264,203,1495.0,,12023,19543,255707,72291,133883,49533,,576447
225,1983,MD,Maryland,4304000,34736,367,1412.0,,14950,18007,195828,52697,127443,15688,,459716
226,1983,ME,Maine,1146000,1829,24,193.0,,311,1301,40357,11415,27022,1920,,84179
227,1983,MI,Michigan,9069000,64993,910,5085.0,,25873,33125,522450,153438,302118,66894,,1169801
228,1983,MN,Minnesota,4144000,7909,69,927.0,,3298,3615,159268,44571,106034,8663,,333427
229,1983,MO,Missouri,4970000,23718,403,1330.0,,8346,13639,201418,60496,125140,15782,,448942
230,1983,MT,Montana,817000,1737,30,162.0,,192,1353,36208,7420,26918,1870,,75728
231,1983,NC,North Carolina,6082000,24911,490,1332.0,,4840,18249,229540,72348,147068,10124,,507570
232,1983,ND,North Dakota,680000,365,14,85.0,,53,213,17828,2967,13983,878,,36301
233,1983,NE,Nebraska,1597000,3477,42,339.0,,796,2300,57012,12408,42026,2578,,120639
234,1983,NH,New Hampshire,959000,1200,19,187.0,,231,763,30987,7882,21359,1746,,64187
235,1983,NJ,New Jersey,7468000,41304,399,2266.0,,20086,18553,344296,92391,206778,45127,,768934
236,1983,NM,New Mexico,1399000,9608,124,671.0,,1595,7218,79175,21813,53077,4285,,176895
237,1983,NV,Nevada,891000,5838,114,457.0,,2737,2530,53871,17922,31749,4200,,118961
238,1983,NY,New York,17667000,161489,1958,5296.0,,94783,59452,881322,249115,504346,127861,,2080326
239,1983,OH,Ohio,10746000,42759,600,3387.0,,17132,21640,441362,124179,280156,37027,,964855
240,1983,OK,Oklahoma,3298000,13964,249,1247.0,,4245,8223,148599,49782,84085,14732,,323879
241,1983,OR,Oregon,2662000,12986,109,1078.0,,4533,7266,153412,46472,98880,8060,,331718
242,1983,PA,Pennsylvania,11895000,40782,583,2449.0,,20501,17249,339321,96425,205408,37488,,757757
243,1983,RI,Rhode Island,955000,3392,26,160.0,,1078,2128,44410,12722,25463,6225,,95444
244,1983,SC,South Carolina,3264000,20133,321,1144.0,,3425,15243,135590,42263,85501,7826,,310302
245,1983,SD,South Dakota,700000,840,15,119.0,,111,595,16993,3820,12453,720,,35547
246,1983,TN,Tennessee,4685000,18836,410,1682.0,,8094,8650,169110,56498,97785,14827,,374210
247,1983,TX,Texas,15724000,80546,2239,6333.0,,29769,42205,848312,262198,503582,82532,,1851383
